season,team,home_wins,away_wins,total_wins
2010/2011,Rangers,14,16,30
2011/2012,Real Madrid CF,16,16,32
2012/2013,FC Bayern Munich,14,15,29
2013/2014,Celtic,16,15,31
2015/2016,Paris Saint-Germain,15,15,30
2008/2009,Chelsea,11,14,25
2010/2011,Celtic,15,14,29
2010/2011,FC Barcelona,16,14,30
2011/2012,Rangers,12,14,26
2012/2013,FC Barcelona,18,14,32
2013/2014,FC Bayern Munich,15,14,29
2013/2014,Juventus,19,14,33
2014/2015,Celtic,15,14,29
2014/2015,FC Barcelona,16,14,30
2014/2015,Real Madrid CF,16,14,30
2015/2016,SL Benfica,15,14,29
2015/2016,Sporting CP,13,14,27
2008/2009,FC Barcelona,14,13,27
2008/2009,Liverpool,12,13,25
2009/2010,FC Barcelona,18,13,31
2009/2010,Real Madrid CF,18,13,31
2010/2011,FC Porto,14,13,27
2010/2011,Real Madrid CF,16,13,29
2011/2012,Celtic,17,13,30
2011/2012,Manchester United,15,13,28
2012/2013,Juventus,14,13,27
2013/2014,Atlético Madrid,15,13,28
2014/2015,PSV,16,13,29
2015/2016,Atlético Madrid,15,13,28
2015/2016,FC Barcelona,16,13,29
2015/2016,FC Bayern Munich,15,13,28
2015/2016,Juventus,16,13,29
2015/2016,PSV,13,13,26
2008/2009,FC Porto,9,12,21
2008/2009,Manchester United,16,12,28
2008/2009,Olympique de Marseille,10,12,22
2011/2012,Milan,11,12,23
2012/2013,Lech Poznań,7,12,19
2012/2013,Manchester United,16,12,28
2012/2013,Paris Saint-Germain,13,12,25
2012/2013,SL Benfica,12,12,24
2013/2014,Paris Saint-Germain,15,12,27
2014/2015,AS Monaco,8,12,20
2014/2015,FC Basel,12,12,24
2014/2015,SL Benfica,15,12,27
2015/2016,Ajax,13,12,25
2015/2016,Celtic,14,12,26
2015/2016,FC Basel,14,12,26
2015/2016,Real Madrid CF,16,12,28
2008/2009,AZ,14,11,25
2008/2009,FC Zürich,13,11,24
2008/2009,Inter,14,11,25
2008/2009,Rangers,15,11,26
2008/2009,Real Madrid CF,14,11,25
2009/2010,Ajax,16,11,27
2009/2010,Celtic,14,11,25
2009/2010,FC Basel,14,11,25
2009/2010,FC Twente,16,11,27
2009/2010,Manchester United,16,11,27
2009/2010,RSC Anderlecht,11,11,22
2009/2010,Rangers,15,11,26
2009/2010,Wisła Kraków,8,11,19
2010/2011,Bayer 04 Leverkusen,9,11,20
2010/2011,Borussia Dortmund,12,11,23
2010/2011,Milan,13,11,24
2010/2011,Valencia CF,10,11,21
2011/2012,Ajax,12,11,23
2011/2012,Borussia Dortmund,14,11,25
2011/2012,FC Barcelona,17,11,28
2012/2013,Ajax,11,11,22
2012/2013,SV Zulte-Waregem,8,11,19
2013/2014,AS Monaco,12,11,23
2013/2014,Arsenal,13,11,24
2013/2014,Borussia Dortmund,11,11,22
2013/2014,FC Barcelona,16,11,27
2013/2014,Real Madrid CF,16,11,27
2013/2014,Roma,15,11,26
2013/2014,SL Benfica,12,11,23
2014/2015,Aberdeen,12,11,23
2014/2015,Chelsea,15,11,26
2014/2015,FC Bayern Munich,14,11,25
2015/2016,FC Porto,12,11,23
2015/2016,Leicester City,12,11,23
2008/2009,Aston Villa,7,10,17
2008/2009,BSC Young Boys,12,10,22
2008/2009,Celtic,14,10,24
2008/2009,FC Basel,12,10,22
2008/2009,Girondins de Bordeaux,14,10,24
2008/2009,Juventus,11,10,21
2008/2009,Olympique Lyonnais,10,10,20
2008/2009,RSC Anderlecht,14,10,24
2008/2009,Sevilla FC,11,10,21
2009/2010,BSC Young Boys,15,10,25
2009/2010,Chelsea,17,10,27
2009/2010,PSV,13,10,23
2009/2010,SL Benfica,14,10,24
2010/2011,1. FSV Mainz 05,8,10,18
2010/2011,FC Zürich,11,10,21
2011/2012,FC Porto,13,10,23
2011/2012,Juventus,12,10,22
2011/2012,Manchester City,18,10,28
2011/2012,SC Heerenveen,8,10,18
