team,wins,loses,team_api_id,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass
FC Barcelona,234,27,8634,Balanced,Normal,Mixed,Free Form,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
Real Madrid CF,228,40,8633,Balanced,Normal,Mixed,Free Form,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
Celtic,218,36,9925,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Bayern Munich,193,35,9823,Balanced,Little,Short,Free Form,Normal,Little,Little,Free Form,High,Press,Normal,Cover
Juventus,189,46,9885,Balanced,Normal,Short,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
SL Benfica,185,27,9772,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Porto,183,23,9773,Fast,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
Ajax,181,32,8593,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Free Form,Medium,Press,Normal,Cover
FC Basel,180,42,9931,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Manchester United,192,55,10260,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Chelsea,176,58,8455,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
PSV,178,47,8640,Fast,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Medium,Press,Normal,Cover
Arsenal,170,61,9825,Balanced,Normal,Short,Organised,Safe,Normal,Normal,Free Form,Medium,Press,Normal,Cover
Paris Saint-Germain,175,53,9847,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Borussia Dortmund,157,53,9789,Fast,Normal,Mixed,Organised,Risky,Normal,Normal,Free Form,Medium,Double,Normal,Cover
Roma,162,68,8686,Fast,Little,Mixed,Organised,Risky,Normal,Normal,Free Form,Medium,Press,Normal,Cover
Sporting CP,144,44,9768,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Inter,154,76,8636,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Liverpool,150,78,8650,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Atlético Madrid,167,78,9906,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Tottenham Hotspur,151,79,8586,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Olympique de Marseille,143,71,8592,Balanced,Lots,Mixed,Organised,Normal,Lots,Little,Organised,Medium,Press,Normal,Cover
Manchester City,175,68,8456,Balanced,Normal,Short,Free Form,Normal,Normal,Little,Free Form,Medium,Press,Normal,Cover
Milan,154,70,8564,Balanced,Lots,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
Olympique Lyonnais,153,71,9748,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
Bayer 04 Leverkusen,137,69,8178,Fast,Little,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Double,Normal,Cover
FC Twente,144,57,8611,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Napoli,153,71,9875,Balanced,Lots,Mixed,Organised,Risky,Normal,Lots,Organised,Medium,Press,Normal,Offside Trap
AZ,140,79,10229,Balanced,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Zürich,120,97,10243,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
RSC Anderlecht,136,27,8635,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
BSC Young Boys,142,75,10192,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Legia Warszawa,137,53,8673,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
LOSC Lille,147,65,8639,Balanced,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
Aberdeen,120,109,8485,Balanced,Normal,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,Cover
Motherwell,122,120,9927,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Medium,Press,Normal,Cover
Feyenoord,139,70,10235,Balanced,Little,Mixed,Organised,Normal,Lots,Little,Organised,Medium,Press,Normal,Cover
Fiorentina,132,93,8535,Balanced,Normal,Short,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
Rangers,108,19,8548,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Valencia CF,142,88,10267,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Lech Poznań,124,56,2182,Balanced,Normal,Mixed,Free Form,Normal,Lots,Lots,Free Form,Medium,Press,Normal,Cover
Lazio,131,105,8543,Fast,Normal,Mixed,Organised,Risky,Lots,Lots,Free Form,Medium,Press,Normal,Cover
Dundee United,115,106,9938,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Inverness Caledonian Thistle,96,101,8066,Balanced,Normal,Short,Organised,Normal,Normal,Lots,Free Form,Medium,Press,Normal,Cover
Sevilla FC,139,100,8302,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Club Brugge KV,123,49,8342,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Stade Rennais FC,111,102,9851,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Schalke 04,127,88,10189,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
AS Saint-Étienne,121,101,9853,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
KAA Gent,109,54,9991,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Vitesse,105,96,8277,Balanced,Normal,Mixed,Free Form,Normal,Normal,Lots,Free Form,Medium,Press,Normal,Cover
St. Johnstone FC,98,99,8467,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Everton,121,83,8668,Balanced,Normal,Mixed,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Cover
Girondins de Bordeaux,126,79,9827,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
SC Braga,126,66,10264,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
Grasshopper Club Zürich,115,104,9956,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Wisła Kraków,108,68,10265,Slow,Normal,Mixed,Free Form,Safe,Normal,Little,Free Form,Medium,Press,Normal,Cover
VfL Wolfsburg,117,88,8721,Fast,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
Athletic Club de Bilbao,122,111,8315,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
AS Monaco,95,58,9829,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Medium,Press,Normal,Cover
SC Heerenveen,107,93,10228,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Chievo Verona,87,129,8533,Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Toulouse FC,103,111,9941,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Aston Villa,86,130,10252,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
VfB Stuttgart,99,112,10269,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Narrow,Cover
Standard de Liège,106,64,9985,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Luzern,105,107,10199,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Vitória Guimarães,92,95,7844,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Málaga CF,106,120,9864,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Offside Trap
Montpellier Hérault SC,110,89,10249,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Ruch Chorzów,92,91,1601,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Kilmarnock,86,142,8597,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Udinese,115,111,8600,Fast,Normal,Mixed,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,Cover
Borussia Mönchengladbach,109,101,9788,Slow,Normal,Short,Organised,Normal,Little,Normal,Free Form,Medium,Press,Normal,Cover
Hamburger SV,93,113,9790,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Groningen,109,101,8674,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
OGC Nice,106,117,9831,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Utrecht,105,97,9908,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Medium,Press,Normal,Cover
KRC Genk,97,60,9987,Balanced,Normal,Mixed,Organised,Safe,Lots,Normal,Organised,Medium,Press,Wide,Cover
TSG 1899 Hoffenheim,87,109,8226,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Lorient,97,116,8689,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Villarreal CF,112,83,10205,Balanced,Normal,Mixed,Free Form,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
Heracles Almelo,93,118,9791,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
FC Sion,104,113,10179,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
CD Nacional,94,89,10214,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
SV Werder Bremen,89,107,8697,Balanced,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Wide,Cover
1. FSV Mainz 05,88,85,9905,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Sporting Lokeren,74,70,9994,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
SV Zulte-Waregem,78,72,10000,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Medium,Press,Normal,Cover
FC Paços de Ferreira,80,93,6403,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Rio Ave FC,75,104,7841,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Getafe CF,94,139,8305,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Genoa,106,117,10233,Balanced,Normal,Long,Organised,Normal,Normal,Little,Organised,Deep,Press,Normal,Cover
Lechia Gdańsk,78,95,8030,Balanced,Normal,Mixed,Free Form,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Śląsk Wrocław,89,71,8025,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
Hamilton Academical FC,56,90,8429,Balanced,Normal,Mixed,Free Form,Risky,Normal,Lots,Organised,Medium,Press,Normal,Cover
RCD Espanyol,97,134,8558,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
CS Marítimo,85,97,10212,Balanced,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
KV Mechelen,79,81,8203,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
