team,wins,loses
FC Barcelona,234,27
Real Madrid CF,228,40
Celtic,218,36
FC Bayern Munich,193,35
Juventus,189,46
SL Benfica,185,27
FC Porto,183,23
Ajax,181,32
FC Basel,180,42
Manchester United,192,55
Chelsea,176,58
Arsenal,170,61
PSV,178,47
Paris Saint-Germain,175,53
Borussia Dortmund,157,53
Roma,162,68
Sporting CP,144,44
Atlético Madrid,167,78
Inter,154,76
Liverpool,150,78
Olympique de Marseille,143,71
Tottenham Hotspur,151,79
Manchester City,175,68
Milan,154,70
Olympique Lyonnais,153,71
Bayer 04 Leverkusen,137,69
FC Twente,144,57
AZ,140,79
FC Zürich,120,97
Napoli,153,71
BSC Young Boys,142,75
RSC Anderlecht,136,27
Legia Warszawa,137,53
LOSC Lille,147,65
Aberdeen,120,109
Feyenoord,139,70
Motherwell,122,120
Fiorentina,132,93
Rangers,108,19
Valencia CF,142,88
Lazio,131,105
Lech Poznań,124,56
Dundee United,115,106
Club Brugge KV,123,49
Inverness Caledonian Thistle,96,101
Sevilla FC,139,100
Stade Rennais FC,111,102
FC Schalke 04,127,88
AS Saint-Étienne,121,101
KAA Gent,109,54
Everton,121,83
Girondins de Bordeaux,126,79
SC Braga,126,66
St. Johnstone FC,98,99
Vitesse,105,96
Grasshopper Club Zürich,115,104
Wisła Kraków,108,68
VfL Wolfsburg,117,88
AS Monaco,95,58
Athletic Club de Bilbao,122,111
SC Heerenveen,107,93
Aston Villa,86,130
Chievo Verona,87,129
Toulouse FC,103,111
VfB Stuttgart,99,112
FC Luzern,105,107
Standard de Liège,106,64
Montpellier Hérault SC,110,89
Málaga CF,106,120
Vitória Guimarães,92,95
Borussia Mönchengladbach,109,101
Hamburger SV,93,113
Kilmarnock,86,142
Ruch Chorzów,92,91
Udinese,115,111
FC Groningen,109,101
OGC Nice,106,117
FC Utrecht,105,97
KRC Genk,97,60
FC Lorient,97,116
Heart of Midlothian,101,99
TSG 1899 Hoffenheim,87,109
Villarreal CF,112,83
CD Nacional,94,89
FC Sion,104,113
Heracles Almelo,93,118
1. FSV Mainz 05,88,85
SV Werder Bremen,89,107
SV Zulte-Waregem,78,72
Sporting Lokeren,74,70
FC Paços de Ferreira,80,93
Genoa,106,117
Getafe CF,94,139
Hibernian,65,101
Rio Ave FC,75,104
Lechia Gdańsk,78,95
Polonia Bytom,94,119
CS Marítimo,85,97
Hamilton Academical FC,56,90
RCD Espanyol,97,134
Śląsk Wrocław,89,71
ADO Den Haag,79,119
FC St. Gallen,72,94
Hannover 96,91,124
KV Mechelen,79,81
Newcastle United,82,119
Stoke City,98,120
Sunderland,78,134
1. FC Köln,60,90
Sampdoria,84,101
West Bromwich Albion,75,118
Bologna,68,116
FC Thun,71,75
Hertha BSC Berlin,65,90
Piast Gliwice,65,73
Real Sociedad,84,85
Roda JC Kerkrade,71,108
St. Mirren,61,131
AS Nancy-Lorraine,56,81
Eintracht Frankfurt,72,103
